#   q     Cout       Nout      Cside       Nside       Clong        Nlong
456.250          nan  0.000000000          nan  0.000000000          nan  0.000000000
458.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
461.250          nan  0.000000000          nan  0.000000000 -0.615775562  1.000000000
463.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
466.250          nan  0.000000000          nan  0.000000000          nan  0.000000000
468.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
471.250          nan  0.000000000 -0.607674156  1.000000000 -0.461537994  2.000000000
473.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
476.250          nan  0.000000000          nan  0.000000000 -0.045033730  3.000000000
478.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
481.250          nan  0.000000000          nan  0.000000000  0.171103185  1.000000000
483.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
486.250          nan  0.000000000          nan  0.000000000          nan  0.000000000
488.750          nan  0.000000000          nan  0.000000000  0.343244526  4.000000000
491.250          nan  0.000000000          nan  0.000000000          nan  0.000000000
493.750          nan  0.000000000  0.702555871  1.000000000          nan  0.000000000
496.250          nan  0.000000000  0.477069958  1.000000000          nan  0.000000000
